trend_id,date,collected_at,topic,description,category,sentiment_score,keyword_frequency,keywords,source_count,sources,hn_points,rank,recurred_next_day
8768ac96f32e,2026-08-05,2026-08-05 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps sparks concern after critics warn of serious risks, delays and mounting costs.",Policy,-0.44,4,data-centre|energy|grid|regulation,2,reuters_tech|techcrunch,0,9,1
4c79e7f8703c,2026-08-05,2026-08-05 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation is drawing coverage this week as several outlets report on the latest developments.,Policy,0.0,2,right-to-repair|legislation|parts|consumers,1,wired,0,10,1
c3d4ae56faa6,2026-08-06,2026-08-06 06:00:00+00:00,Smart glasses launch,"Smart glasses launch gains traction, with early users reporting impressive results and rapid growth.",Gadgets,0.875,17,smart-glasses|wearable|ar|display,5,arstechnica|hackernews|reuters_tech|techcrunch|wired,0,1,1
fbe7d8659ed7,2026-08-06,2026-08-06 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps faces backlash amid reports of failures, security worries and angry customers.",Policy,-0.681,17,data-centre|energy|grid|regulation,4,arstechnica|reuters_tech|theverge|wired,0,2,1
f8530279c972,2026-08-06,2026-08-06 06:00:00+00:00,Export controls on GPUs,Export controls on GPUs: analysts praise strong momentum as adoption accelerates across the industry.,Chips,0.784,14,export-controls|gpu|sanctions|china,4,arstechnica|hackernews|reuters_tech|wired,0,3,1
4068528d6ba3,2026-08-06,2026-08-06 06:00:00+00:00,Super-app payments push,Super-app payments push: companies outline plans and timelines while observers wait for more detail.,Apps,0.0,11,super-app|payments|wallet|fintech,3,hackernews|theverge|wired,0,4,0
d9b0cdbe9454,2026-08-06,2026-08-06 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave is drawing coverage this week as several outlets report on the latest developments.,Startups,0.0,9,layoffs|fintech|restructuring,3,reuters_tech|techcrunch|wired,0,5,0
2144c6b5382c,2026-08-06,2026-08-06 06:00:00+00:00,Multimodal video models,Multimodal video models: companies outline plans and timelines while observers wait for more detail.,AI,0.0,9,video|multimodal|generation|diffusion,3,arstechnica|theverge|wired,0,6,0
3c2f2e9f6c2c,2026-08-06,2026-08-06 06:00:00+00:00,App store fee changes,"App store fee changes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,7,app-store|fees|commission|developers,3,hackernews|reuters_tech|wired,0,7,0
9f219ab1db33,2026-08-06,2026-08-06 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation: analysts praise strong momentum as adoption accelerates across the industry.,Policy,0.784,6,right-to-repair|legislation|parts|consumers,2,reuters_tech|wired,0,8,0
8ceff70b7a59,2026-08-06,2026-08-06 06:00:00+00:00,Multi-cloud outage postmortem,"Multi-cloud outage postmortem faces backlash amid reports of failures, security worries and angry customers.",Cloud,-0.772,5,outage|postmortem|availability|region|sla,2,techcrunch|theverge,0,9,0
6098fd3263da,2026-08-06,2026-08-06 06:00:00+00:00,On-device LLM inference,On-device LLM inference: companies outline plans and timelines while observers wait for more detail.,AI,0.0,4,llm|on-device|inference|npu|edge,2,reuters_tech|techcrunch,0,10,1
bda4a5e413c2,2026-08-07,2026-08-07 06:00:00+00:00,Smart glasses launch,"Smart glasses launch sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.318,11,smart-glasses|wearable|ar|display,4,arstechnica|reuters_tech|theverge|wired,0,1,1
32555686036d,2026-08-07,2026-08-07 06:00:00+00:00,Subscription fatigue backlash,"Subscription fatigue backlash: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.883,11,subscription|pricing|churn|backlash,4,arstechnica|reuters_tech|theverge|wired,0,2,0
39acc91760c5,2026-08-07,2026-08-07 06:00:00+00:00,Age-verification mandates,Age-verification mandates wins broad support after a successful rollout and encouraging benchmarks.,Policy,0.927,10,age-verification|mandate|platforms|privacy,4,hackernews|techcrunch|theverge|wired,0,3,1
e606c73b4f02,2026-08-07,2026-08-07 06:00:00+00:00,Passkey adoption surge,Passkey adoption surge is drawing coverage this week as several outlets report on the latest developments.,Cybersecurity,0.0,10,passkeys|fido|passwordless,4,arstechnica|reuters_tech|techcrunch|wired,0,4,0
ee726c0022b7,2026-08-07,2026-08-07 06:00:00+00:00,Open-weight model release,"Open-weight model release gains traction, with early users reporting impressive results and rapid growth.",AI,0.807,11,open-weights|release|benchmark|model,3,hackernews|techcrunch|theverge,0,5,1
17c8407080d1,2026-08-07,2026-08-07 06:00:00+00:00,Data-centre energy caps,Data-centre energy caps is drawing coverage this week as several outlets report on the latest developments.,Policy,0.273,9,data-centre|energy|grid|regulation,3,hackernews|techcrunch|wired,0,6,0
539b1827be03,2026-08-07,2026-08-07 06:00:00+00:00,Sovereign cloud regions,Sovereign cloud regions wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,8,sovereign|region|data-residency|compliance,3,arstechnica|techcrunch|theverge,0,7,0
cc90f331f219,2026-08-07,2026-08-07 06:00:00+00:00,AI agent frameworks,"AI agent frameworks sparks concern after critics warn of serious risks, delays and mounting costs.",AI,-0.612,6,agents|framework|orchestration|tools,2,reuters_tech|wired,0,8,0
7196d83ddb84,2026-08-07,2026-08-07 06:00:00+00:00,On-device LLM inference,"On-device LLM inference gains traction, with early users reporting impressive results and rapid growth.",AI,0.807,6,llm|on-device|inference|npu|edge,2,arstechnica|techcrunch,0,9,1
9ae599d70711,2026-08-07,2026-08-07 06:00:00+00:00,Export controls on GPUs,"Export controls on GPUs gains traction, with early users reporting impressive results and rapid growth.",Chips,0.807,5,export-controls|gpu|sanctions|china,2,arstechnica|theverge,0,10,0
ecc91e289806,2026-08-08,2026-08-08 06:00:00+00:00,Open-weight model release,Open-weight model release moves forward as vendors publish updated documentation and roadmaps.,AI,0.0,19,open-weights|release|benchmark|model,5,arstechnica|hackernews|reuters_tech|theverge|wired,0,1,1
2c45edd8557e,2026-08-08,2026-08-08 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave moves forward as vendors publish updated documentation and roadmaps.,Gadgets,0.0,18,handheld|gaming|pc|battery,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,2,1
e3437fa9cab8,2026-08-08,2026-08-08 06:00:00+00:00,Age-verification mandates,"Age-verification mandates sparks concern after critics warn of serious risks, delays and mounting costs.",Policy,-0.612,17,age-verification|mandate|platforms|privacy,4,arstechnica|hackernews|techcrunch|theverge,0,3,1
ad8ae9de65ab,2026-08-08,2026-08-08 06:00:00+00:00,Right-to-repair legislation,Right-to-repair legislation is drawing coverage this week as several outlets report on the latest developments.,Policy,0.0,12,right-to-repair|legislation|parts|consumers,4,arstechnica|hackernews|reuters_tech|techcrunch,0,4,0
0466ea222484,2026-08-08,2026-08-08 06:00:00+00:00,Short-video algorithm changes,"Short-video algorithm changes sparks concern after critics warn of serious risks, delays and mounting costs.",Apps,-0.612,11,short-video|algorithm|feed|creators,4,arstechnica|hackernews|reuters_tech|wired,0,5,1
5847873408fd,2026-08-08,2026-08-08 06:00:00+00:00,Smart glasses launch,Smart glasses launch: companies outline plans and timelines while observers wait for more detail.,Gadgets,0.402,9,smart-glasses|wearable|ar|display,3,hackernews|techcrunch|theverge,0,6,1
82119370f34f,2026-08-08,2026-08-08 06:00:00+00:00,E-ink tablet refresh,"E-ink tablet refresh: frustrated users and regulators criticise a troubled, poorly handled rollout.",Gadgets,-0.852,8,e-ink|tablet|reader,2,arstechnica|reuters_tech,0,7,0
966483e2fe87,2026-08-08,2026-08-08 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave: companies outline plans and timelines while observers wait for more detail.,Startups,0.0,5,layoffs|fintech|restructuring,2,reuters_tech|theverge,0,8,0
62f4bc7ade15,2026-08-08,2026-08-08 06:00:00+00:00,On-device LLM inference,"On-device LLM inference faces backlash amid reports of failures, security worries and angry customers.",AI,-0.772,4,llm|on-device|inference|npu|edge,2,theverge|wired,0,9,0
e161082e0574,2026-08-08,2026-08-08 06:00:00+00:00,Smartwatch health sensors,Smartwatch health sensors: companies outline plans and timelines while observers wait for more detail.,Gadgets,0.0,3,smartwatch|health|sensor|wearable,1,wired,0,10,0
fa3b765e043f,2026-08-09,2026-08-09 06:00:00+00:00,Open-weight model release,Open-weight model release: analysts praise strong momentum as adoption accelerates across the industry.,AI,0.784,20,open-weights|release|benchmark|model,5,hackernews|reuters_tech|techcrunch|theverge|wired,0,1,1
98e2ee04ba36,2026-08-09,2026-08-09 06:00:00+00:00,Short-video algorithm changes,Short-video algorithm changes: analysts praise strong momentum as adoption accelerates across the industry.,Apps,0.784,14,short-video|algorithm|feed|creators,4,hackernews|reuters_tech|techcrunch|wired,0,2,1
2a3920a0d8e3,2026-08-09,2026-08-09 06:00:00+00:00,Unicorn down-round,Unicorn down-round is drawing coverage this week as several outlets report on the latest developments.,Startups,0.0,10,down-round|valuation|unicorn|funding,4,reuters_tech|techcrunch|theverge|wired,0,3,0
ba4b114e1a6d,2026-08-09,2026-08-09 06:00:00+00:00,Smart glasses launch,Smart glasses launch: analysts praise strong momentum as adoption accelerates across the industry.,Gadgets,0.863,13,smart-glasses|wearable|ar|display,3,hackernews|reuters_tech|wired,0,4,1
188528199730,2026-08-09,2026-08-09 06:00:00+00:00,Zero-day in VPN appliances,Zero-day in VPN appliances wins broad support after a successful rollout and encouraging benchmarks.,Cybersecurity,0.927,13,zero-day|vpn|patch|exploit,3,arstechnica|hackernews|theverge,0,5,0
4e00cb7fb4a1,2026-08-09,2026-08-09 06:00:00+00:00,AI agent frameworks,AI agent frameworks is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,12,agents|framework|orchestration|tools,3,arstechnica|reuters_tech|wired,0,6,1
b26e439f6325,2026-08-09,2026-08-09 06:00:00+00:00,Serverless GPU offerings,Serverless GPU offerings moves forward as vendors publish updated documentation and roadmaps.,Cloud,0.0,12,serverless|gpu|inference|scaling,3,hackernews|techcrunch|theverge,0,7,0
778b4f6ca32d,2026-08-09,2026-08-09 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave wins broad support after a successful rollout and encouraging benchmarks.,Gadgets,0.927,10,handheld|gaming|pc|battery,3,reuters_tech|theverge|wired,0,8,1
e5bf9b98b430,2026-08-09,2026-08-09 06:00:00+00:00,Age-verification mandates,Age-verification mandates moves forward as vendors publish updated documentation and roadmaps.,Policy,0.0,8,age-verification|mandate|platforms|privacy,3,techcrunch|theverge|wired,0,9,0
2a8efe7e9317,2026-08-09,2026-08-09 06:00:00+00:00,Memory price spike,Memory price spike wins broad support after a successful rollout and encouraging benchmarks.,Chips,0.927,4,dram|hbm|memory|prices,1,reuters_tech,0,10,0
0967d3fa30bb,2026-08-10,2026-08-10 06:00:00+00:00,Cloud egress fee cuts,"Cloud egress fee cuts sparks concern after critics warn of serious risks, delays and mounting costs.",Cloud,-0.735,13,egress|fees|cloud|pricing,4,arstechnica|hackernews|techcrunch|theverge,0,1,1
c4075615d2c4,2026-08-10,2026-08-10 06:00:00+00:00,Export controls on GPUs,Export controls on GPUs wins broad support after a successful rollout and encouraging benchmarks.,Chips,0.927,12,export-controls|gpu|sanctions|china,4,arstechnica|reuters_tech|techcrunch|wired,0,2,1
6aba8d759276,2026-08-10,2026-08-10 06:00:00+00:00,Short-video algorithm changes,"Short-video algorithm changes gains traction, with early users reporting impressive results and rapid growth.",Apps,0.807,7,short-video|algorithm|feed|creators,3,arstechnica|reuters_tech|wired,0,3,0
6c9a1834ee23,2026-08-10,2026-08-10 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave is drawing coverage this week as several outlets report on the latest developments.,Gadgets,0.0,7,handheld|gaming|pc|battery,3,arstechnica|techcrunch|theverge,0,4,1
1ee69e75a1be,2026-08-10,2026-08-10 06:00:00+00:00,App store fee changes,"App store fee changes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,6,app-store|fees|commission|developers,2,arstechnica|reuters_tech,0,5,1
b4d1b9519e58,2026-08-10,2026-08-10 06:00:00+00:00,Small language models,"Small language models sparks concern after critics warn of serious risks, delays and mounting costs.",AI,-0.612,6,slm|small-model|efficiency|distillation,2,reuters_tech|wired,0,6,0
c94fe8e0d9dc,2026-08-10,2026-08-10 06:00:00+00:00,AI agent frameworks,"AI agent frameworks: frustrated users and regulators criticise a troubled, poorly handled rollout.",AI,-0.852,5,agents|framework|orchestration|tools,2,hackernews|theverge,0,7,0
b53371489390,2026-08-10,2026-08-10 06:00:00+00:00,Smart glasses launch,"Smart glasses launch sparks concern after critics warn of serious risks, delays and mounting costs.",Gadgets,-0.318,5,smart-glasses|wearable|ar|display,2,reuters_tech|wired,0,8,0
e34c28374e5b,2026-08-10,2026-08-10 06:00:00+00:00,RISC-V laptop prototypes,"RISC-V laptop prototypes gains traction, with early users reporting impressive results and rapid growth.",Chips,0.807,5,risc-v|laptop|open-isa|prototype,2,arstechnica|wired,0,9,0
91ee736669d8,2026-08-10,2026-08-10 06:00:00+00:00,Open-weight model release,Open-weight model release: companies outline plans and timelines while observers wait for more detail.,AI,0.0,3,open-weights|release|benchmark|model,1,theverge,0,10,0
1839ee129d11,2026-08-11,2026-08-11 06:00:00+00:00,Super-app payments push,Super-app payments push moves forward as vendors publish updated documentation and roadmaps.,Apps,0.0,12,super-app|payments|wallet|fintech,4,arstechnica|reuters_tech|theverge|wired,0,1,1
ee95ae3ac715,2026-08-11,2026-08-11 06:00:00+00:00,AI coding assistants,AI coding assistants: analysts praise strong momentum as adoption accelerates across the industry.,AI,0.784,12,copilot|code|assistant|developer,4,arstechnica|reuters_tech|theverge|wired,0,2,1
0da4c959114e,2026-08-11,2026-08-11 06:00:00+00:00,E-ink tablet refresh,E-ink tablet refresh wins broad support after a successful rollout and encouraging benchmarks.,Gadgets,0.927,11,e-ink|tablet|reader,3,hackernews|reuters_tech|theverge,0,3,1
ff8e2ddc53bc,2026-08-11,2026-08-11 06:00:00+00:00,Subscription fatigue backlash,"Subscription fatigue backlash gains traction, with early users reporting impressive results and rapid growth.",Apps,0.743,10,subscription|pricing|churn|backlash,3,arstechnica|hackernews|techcrunch,0,4,0
337ab662bf63,2026-08-11,2026-08-11 06:00:00+00:00,Supply-chain package attack,"Supply-chain package attack sparks concern after critics warn of serious risks, delays and mounting costs.",Cybersecurity,-0.796,9,supply-chain|npm|malware|package,3,hackernews|techcrunch|wired,0,5,0
439ef3edc8cf,2026-08-11,2026-08-11 06:00:00+00:00,AI in customer support,AI in customer support moves forward as vendors publish updated documentation and roadmaps.,AI,0.402,7,support|chatbot|automation|deflection,3,reuters_tech|techcrunch|wired,0,6,0
14e81bda70a4,2026-08-11,2026-08-11 06:00:00+00:00,App store fee changes,"App store fee changes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,7,app-store|fees|commission|developers,2,arstechnica|wired,0,7,0
5398739191e8,2026-08-11,2026-08-11 06:00:00+00:00,Handheld gaming PC wave,"Handheld gaming PC wave gains traction, with early users reporting impressive results and rapid growth.",Gadgets,0.807,6,handheld|gaming|pc|battery,2,reuters_tech|techcrunch,0,8,0
fc5e73470707,2026-08-11,2026-08-11 06:00:00+00:00,Export controls on GPUs,"Export controls on GPUs faces backlash amid reports of failures, security worries and angry customers.",Chips,-0.772,5,export-controls|gpu|sanctions|china,2,techcrunch|wired,0,9,0
2b0c28e4dbfa,2026-08-11,2026-08-11 06:00:00+00:00,Cloud egress fee cuts,Cloud egress fee cuts: analysts praise strong momentum as adoption accelerates across the industry.,Cloud,0.691,4,egress|fees|cloud|pricing,2,hackernews|reuters_tech,0,10,1
60c4379d8b34,2026-08-12,2026-08-12 06:00:00+00:00,Memory price spike,"Memory price spike: frustrated users and regulators criticise a troubled, poorly handled rollout.",Chips,-0.852,22,dram|hbm|memory|prices,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,1,1
cf65df38cb59,2026-08-12,2026-08-12 06:00:00+00:00,Fintech layoffs wave,"Fintech layoffs wave gains traction, with early users reporting impressive results and rapid growth.",Startups,0.807,19,layoffs|fintech|restructuring,5,arstechnica|hackernews|reuters_tech|techcrunch|theverge,0,2,1
504cf2b6b99d,2026-08-12,2026-08-12 06:00:00+00:00,Age-verification mandates,Age-verification mandates wins broad support after a successful rollout and encouraging benchmarks.,Policy,0.927,19,age-verification|mandate|platforms|privacy,5,hackernews|reuters_tech|techcrunch|theverge|wired,0,3,1
eaad7194f4d5,2026-08-12,2026-08-12 06:00:00+00:00,Super-app payments push,Super-app payments push is drawing coverage this week as several outlets report on the latest developments.,Apps,0.0,14,super-app|payments|wallet|fintech,5,hackernews|reuters_tech|techcrunch|theverge|wired,0,4,0
83854803b462,2026-08-12,2026-08-12 06:00:00+00:00,AI agent frameworks,"AI agent frameworks: frustrated users and regulators criticise a troubled, poorly handled rollout.",AI,-0.852,16,agents|framework|orchestration|tools,4,reuters_tech|techcrunch|theverge|wired,0,5,0
679fbf769fe9,2026-08-12,2026-08-12 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem: analysts praise strong momentum as adoption accelerates across the industry.,Cloud,0.784,9,outage|postmortem|availability|region|sla,4,arstechnica|hackernews|techcrunch|theverge,0,6,1
fceb572ef547,2026-08-12,2026-08-12 06:00:00+00:00,AI coding assistants,AI coding assistants moves forward as vendors publish updated documentation and roadmaps.,AI,0.0,11,copilot|code|assistant|developer,3,arstechnica|reuters_tech|theverge,0,7,0
918f238fe96d,2026-08-12,2026-08-12 06:00:00+00:00,Cloud egress fee cuts,"Cloud egress fee cuts sparks concern after critics warn of serious risks, delays and mounting costs.",Cloud,-0.735,8,egress|fees|cloud|pricing,3,arstechnica|reuters_tech|theverge,0,8,0
499a6123ddf6,2026-08-12,2026-08-12 06:00:00+00:00,E-ink tablet refresh,E-ink tablet refresh moves forward as vendors publish updated documentation and roadmaps.,Gadgets,0.0,4,e-ink|tablet|reader,2,reuters_tech|theverge,0,9,0
00a75b5cf551,2026-08-12,2026-08-12 06:00:00+00:00,Antitrust ruling on search,"Antitrust ruling on search sparks concern after critics warn of serious risks, delays and mounting costs.",Policy,-0.612,4,antitrust|search|ruling,2,hackernews|reuters_tech,0,10,1
2ae7756debf4,2026-08-13,2026-08-13 06:00:00+00:00,Memory price spike,"Memory price spike: frustrated users and regulators criticise a troubled, poorly handled rollout.",Chips,-0.852,16,dram|hbm|memory|prices,4,arstechnica|techcrunch|theverge|wired,0,1,1
87d2dd2bc866,2026-08-13,2026-08-13 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave is drawing coverage this week as several outlets report on the latest developments.,Startups,0.0,13,layoffs|fintech|restructuring,4,reuters_tech|techcrunch|theverge|wired,0,2,1
aa45e9bb053a,2026-08-13,2026-08-13 06:00:00+00:00,Smartwatch health sensors,"Smartwatch health sensors gains traction, with early users reporting impressive results and rapid growth.",Gadgets,0.807,12,smartwatch|health|sensor|wearable,4,arstechnica|hackernews|techcrunch|theverge,0,3,0
b6fc3986a213,2026-08-13,2026-08-13 06:00:00+00:00,Deepfake fraud warnings,"Deepfake fraud warnings gains traction, with early users reporting impressive results and rapid growth.",Cybersecurity,0.318,12,deepfake|fraud|voice|scam,3,reuters_tech|theverge|wired,0,4,0
9bd76b15b187,2026-08-13,2026-08-13 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,11,outage|postmortem|availability|region|sla,3,hackernews|reuters_tech|techcrunch,0,5,0
165bc3751325,2026-08-13,2026-08-13 06:00:00+00:00,Age-verification mandates,"Age-verification mandates gains traction, with early users reporting impressive results and rapid growth.",Policy,0.807,6,age-verification|mandate|platforms|privacy,3,hackernews|reuters_tech|techcrunch,0,6,0
afdb81080508,2026-08-13,2026-08-13 06:00:00+00:00,Climate-tech accelerator cohort,"Climate-tech accelerator cohort gains traction, with early users reporting impressive results and rapid growth.",Startups,0.807,6,climate-tech|accelerator|cohort|seed,2,theverge|wired,0,7,0
754164ca9e34,2026-08-13,2026-08-13 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash: analysts praise strong momentum as adoption accelerates across the industry.,Apps,0.71,5,subscription|pricing|churn|backlash,2,arstechnica|theverge,0,8,1
3cb9797b9fbc,2026-08-13,2026-08-13 06:00:00+00:00,Antitrust ruling on search,"Antitrust ruling on search faces backlash amid reports of failures, security worries and angry customers.",Policy,-0.772,4,antitrust|search|ruling,2,hackernews|reuters_tech,0,9,0
96b0d907cc0a,2026-08-13,2026-08-13 06:00:00+00:00,Ransomware hits hospital chain,"Ransomware hits hospital chain: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cybersecurity,-0.852,2,ransomware|hospital|breach|extortion|healthcare,1,techcrunch,0,10,1
26cd1e581885,2026-08-14,2026-08-14 06:00:00+00:00,App store fee changes,"App store fee changes sparks concern after critics warn of serious risks, delays and mounting costs.",Apps,-0.612,11,app-store|fees|commission|developers,4,hackernews|reuters_tech|techcrunch|wired,0,1,1
9cd0a549e217,2026-08-14,2026-08-14 06:00:00+00:00,Ransomware hits hospital chain,"Ransomware hits hospital chain gains traction, with early users reporting impressive results and rapid growth.",Cybersecurity,0.807,12,ransomware|hospital|breach|extortion|healthcare,3,arstechnica|hackernews|theverge,0,2,1
d5c7a8fefbfc,2026-08-14,2026-08-14 06:00:00+00:00,Memory price spike,Memory price spike moves forward as vendors publish updated documentation and roadmaps.,Chips,0.0,10,dram|hbm|memory|prices,3,arstechnica|reuters_tech|theverge,0,3,0
f32a28bad521,2026-08-14,2026-08-14 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash is drawing coverage this week as several outlets report on the latest developments.,Apps,-0.25,9,subscription|pricing|churn|backlash,3,arstechnica|hackernews|techcrunch,0,4,1
16c3ae4369af,2026-08-14,2026-08-14 06:00:00+00:00,EU AI Act enforcement,EU AI Act enforcement wins broad support after a successful rollout and encouraging benchmarks.,Policy,0.927,7,eu|ai-act|enforcement|compliance,3,reuters_tech|techcrunch|wired,0,5,0
bb841cd975ba,2026-08-14,2026-08-14 06:00:00+00:00,Serverless GPU offerings,Serverless GPU offerings wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,7,serverless|gpu|inference|scaling,2,arstechnica|techcrunch,0,6,1
96f7ebad9d91,2026-08-14,2026-08-14 06:00:00+00:00,Smart glasses launch,Smart glasses launch is drawing coverage this week as several outlets report on the latest developments.,Gadgets,0.402,6,smart-glasses|wearable|ar|display,2,techcrunch|theverge,0,7,0
340cabe22034,2026-08-14,2026-08-14 06:00:00+00:00,Supply-chain package attack,Supply-chain package attack wins broad support after a successful rollout and encouraging benchmarks.,Cybersecurity,0.888,6,supply-chain|npm|malware|package,2,hackernews|theverge,0,8,1
7c8400c14724,2026-08-14,2026-08-14 06:00:00+00:00,Fintech layoffs wave,Fintech layoffs wave: companies outline plans and timelines while observers wait for more detail.,Startups,0.0,4,layoffs|fintech|restructuring,2,hackernews|techcrunch,0,9,0
624375479dfd,2026-08-14,2026-08-14 06:00:00+00:00,AI in customer support,"AI in customer support gains traction, with early users reporting impressive results and rapid growth.",AI,0.875,3,support|chatbot|automation|deflection,1,hackernews,0,10,0
d3f0f945fcd9,2026-08-15,2026-08-15 06:00:00+00:00,Age-verification mandates,"Age-verification mandates faces backlash amid reports of failures, security worries and angry customers.",Policy,-0.772,22,age-verification|mandate|platforms|privacy,5,arstechnica|hackernews|reuters_tech|techcrunch|wired,0,1,1
fc4c4b65de12,2026-08-15,2026-08-15 06:00:00+00:00,Supply-chain package attack,"Supply-chain package attack gains traction, with early users reporting impressive results and rapid growth.",Cybersecurity,0.637,17,supply-chain|npm|malware|package,4,hackernews|reuters_tech|techcrunch|theverge,0,2,1
4d06ea09911d,2026-08-15,2026-08-15 06:00:00+00:00,Smartwatch health sensors,Smartwatch health sensors is drawing coverage this week as several outlets report on the latest developments.,Gadgets,0.0,8,smartwatch|health|sensor|wearable,3,arstechnica|reuters_tech|theverge,0,3,1
14568ae847e7,2026-08-15,2026-08-15 06:00:00+00:00,Ransomware hits hospital chain,Ransomware hits hospital chain: analysts praise strong momentum as adoption accelerates across the industry.,Cybersecurity,0.784,7,ransomware|hospital|breach|extortion|healthcare,3,hackernews|theverge|wired,0,4,1
03bc6030064b,2026-08-15,2026-08-15 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash: analysts praise strong momentum as adoption accelerates across the industry.,Apps,0.71,6,subscription|pricing|churn|backlash,3,arstechnica|techcrunch|wired,0,5,0
ea7c697b2515,2026-08-15,2026-08-15 06:00:00+00:00,Serverless GPU offerings,Serverless GPU offerings: companies outline plans and timelines while observers wait for more detail.,Cloud,0.0,8,serverless|gpu|inference|scaling,2,theverge|wired,0,6,0
d0ced31e7a37,2026-08-15,2026-08-15 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps sparks concern after critics warn of serious risks, delays and mounting costs.",Policy,-0.44,7,data-centre|energy|grid|regulation,2,arstechnica|techcrunch,0,7,1
e033974cdfef,2026-08-15,2026-08-15 06:00:00+00:00,Unicorn down-round,"Unicorn down-round sparks concern after critics warn of serious risks, delays and mounting costs.",Startups,-0.612,6,down-round|valuation|unicorn|funding,2,techcrunch|theverge,0,8,1
6f8dfdbe289d,2026-08-15,2026-08-15 06:00:00+00:00,App store fee changes,"App store fee changes: frustrated users and regulators criticise a troubled, poorly handled rollout.",Apps,-0.852,4,app-store|fees|commission|developers,1,reuters_tech,0,9,1
142f8dbd937c,2026-08-15,2026-08-15 06:00:00+00:00,AI agent frameworks,"AI agent frameworks faces backlash amid reports of failures, security worries and angry customers.",AI,-0.772,4,agents|framework|orchestration|tools,1,hackernews,0,10,0
f84de395be44,2026-08-16,2026-08-16 06:00:00+00:00,Unicorn down-round,Unicorn down-round is drawing coverage this week as several outlets report on the latest developments.,Startups,0.0,16,down-round|valuation|unicorn|funding,4,arstechnica|hackernews|reuters_tech|wired,0,1,0
5deec52e2467,2026-08-16,2026-08-16 06:00:00+00:00,App store fee changes,"App store fee changes gains traction, with early users reporting impressive results and rapid growth.",Apps,0.807,16,app-store|fees|commission|developers,4,arstechnica|reuters_tech|theverge|wired,0,2,1
5d7e3f59c0ae,2026-08-16,2026-08-16 06:00:00+00:00,Handheld gaming PC wave,Handheld gaming PC wave moves forward as vendors publish updated documentation and roadmaps.,Gadgets,0.0,13,handheld|gaming|pc|battery,4,arstechnica|hackernews|reuters_tech|techcrunch,0,3,1
b184ec4330fb,2026-08-16,2026-08-16 06:00:00+00:00,Supply-chain package attack,"Supply-chain package attack: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cybersecurity,-0.908,10,supply-chain|npm|malware|package,4,arstechnica|reuters_tech|techcrunch|wired,0,4,0
07e139ca7c1b,2026-08-16,2026-08-16 06:00:00+00:00,Age-verification mandates,"Age-verification mandates: frustrated users and regulators criticise a troubled, poorly handled rollout.",Policy,-0.852,7,age-verification|mandate|platforms|privacy,3,hackernews|techcrunch|wired,0,5,1
bd51e58f894c,2026-08-16,2026-08-16 06:00:00+00:00,Sovereign cloud regions,"Sovereign cloud regions: frustrated users and regulators criticise a troubled, poorly handled rollout.",Cloud,-0.852,7,sovereign|region|data-residency|compliance,3,arstechnica|hackernews|theverge,0,6,0
4b58100b20ff,2026-08-16,2026-08-16 06:00:00+00:00,Ransomware hits hospital chain,"Ransomware hits hospital chain sparks concern after critics warn of serious risks, delays and mounting costs.",Cybersecurity,-0.612,7,ransomware|hospital|breach|extortion|healthcare,2,theverge|wired,0,7,1
c5ba922a4db3,2026-08-16,2026-08-16 06:00:00+00:00,Data-centre energy caps,"Data-centre energy caps faces backlash amid reports of failures, security worries and angry customers.",Policy,-0.681,7,data-centre|energy|grid|regulation,2,arstechnica|hackernews,0,8,1
